,name,email,country,signup_source,referral,signup_purpose,subscription_level,payment_method,sso_id,email_verified,enabled,registered_at
0,Jennifer Shaw,matthew59@example.org,Slovenia,twitter,https://www.gilmore.com/categories/app/privacy.php,personal,enterprise,credit_card,c9665679-1ff2-4248-ac8b-2b94597488fa,True,True,2024-11-18T16:27:57
1,Mr. Jeffrey Bates DDS,ylee@example.com,Guatemala,other,http://www.delgado.info/about/,education,free,credit_card,0beb426c-0b2d-4a30-824d-e24739795589,False,False,2024-11-18T16:37:45
2,Jessica Murphy,nunezstephanie@example.com,Pitcairn Islands,google,http://www.sullivan.com/tags/register/,business,enterprise,check,785c2a89-1a1c-4f71-ac4f-58568e461249,False,True,2024-11-18T16:58:25
3,Amy Jones,khampton@example.net,United Arab Emirates,other,http://gomez-mercer.info/privacy/,education,trial,other,b99f0963-b14a-437b-9034-7ecc181bacca,False,True,2024-11-18T17:12:41
4,Steven Kim MD,curryanne@example.org,French Southern Territories,other,http://www.walsh.info/wp-content/search/tag/main.htm,business,premium,check,e671867d-fd74-416d-923f-4897732a0699,True,False,2024-11-18T17:23:08
5,Jeremy Wong,powellmolly@example.org,Lao People's Democratic Republic,other,https://www.rivera.net/home.php,business,enterprise,paypal,5b77b6e6-5aee-4e1c-83b1-7d69603021d2,True,False,2024-11-18T17:47:57
6,Michael Bradley,xmayer@example.net,Gabon,facebook,http://www.ramos.com/main.asp,personal,enterprise,check,90652fb1-0d55-4a91-a58a-e678be46891e,True,True,2024-11-18T18:01:05
7,Amber Peterson,erice@example.org,Falkland Islands (Malvinas),twitter,https://www.jackson.biz/about.asp,personal,trial,paypal,3ec01e5d-ac63-455a-9f89-2833970d1d9a,False,True,2024-11-18T18:46:30
8,Lonnie Sanchez,esummers@example.org,Bouvet Island (Bouvetoya),facebook,http://www.miller-jenkins.info/main/,personal,enterprise,check,9db3c48a-f35f-4d05-ad65-0b177320a127,False,False,2024-11-18T18:56:13
9,Joseph Miller,austinanderson@example.org,Haiti,twitter,https://silva-monroe.com/main/author/,personal,trial,other,2206dea9-b786-42ef-8b8f-c7c84defafcb,True,True,2024-11-18T20:05:17
10,Michael Ramirez,vthomas@example.org,Slovenia,other,https://www.miller.com/category/,education,free,paypal,7cd53572-9e19-4e99-ba63-38b9755acccb,False,False,2024-11-18T20:39:58
11,Jon Saunders,hayala@example.net,Guyana,twitter,http://smith.biz/category.php,personal,premium,check,dad752a9-137a-4d98-ba04-23ed855a49ea,True,True,2024-11-18T21:39:49
12,Sarah Sullivan,williamestrada@example.com,Guatemala,facebook,https://andersen-smith.com/explore/blog/posts/login/,personal,enterprise,other,72016738-7476-47b7-8f7f-d195b0098714,False,True,2024-11-18T22:24:27
13,Alexis Murray,melanie49@example.org,Uruguay,google,https://www.stevenson-frye.info/search.htm,business,premium,other,63c65355-ae5d-437b-944e-a3c19926b15d,False,True,2024-11-18T22:35:00
14,Christopher Wong,melissa42@example.com,Afghanistan,facebook,https://mercado-higgins.com/app/tags/wp-content/login/,other,free,paypal,3c4d33af-652b-46dc-9cca-5047225fdea8,False,False,2024-11-19T00:06:54
15,Brenda Newman,thomas25@example.net,Australia,google,http://jensen-bernard.com/,business,enterprise,check,b0f35673-221f-4bba-8633-58f461b4c2c6,True,False,2024-11-19T00:41:13
16,Dawn Chandler,brendanmorris@example.com,French Southern Territories,other,http://www.wilcox.com/,business,trial,paypal,62b929a3-1271-4d4e-bcfc-05f66f9fe882,True,False,2024-11-19T03:28:45
17,Dr. Victoria Hansen MD,rebeccawhitehead@example.net,Estonia,other,https://www.lee.com/,business,enterprise,credit_card,f0468d9d-279e-45b7-acb0-a40b62bd1ad6,True,True,2024-11-19T04:21:31
18,Ms. Sally Chapman,melissa00@example.org,Madagascar,other,http://www.sherman.com/main/tag/homepage.php,education,premium,credit_card,2ba0616e-4d1d-4b00-b95e-8b4db161a2e1,False,False,2024-11-19T04:43:47
19,James Henry,thorntonchristopher@example.org,Israel,facebook,http://www.jackson-pennington.com/faq/,personal,trial,check,9186ffb9-f909-4b2b-9c46-4082f2ed9b93,False,True,2024-11-19T06:18:55
20,Stefanie Roberts,jennifer85@example.org,Moldova,other,https://www.bell.net/,personal,free,other,782bda6a-3f15-462b-bf4b-36cce6840663,True,True,2024-11-19T07:07:49
21,Desiree Murray,julie52@example.org,Kyrgyz Republic,twitter,https://www.boone.com/posts/blog/tag/author.html,education,premium,credit_card,ce05f5de-d5c4-497c-afa0-cc11d510b951,True,False,2024-11-19T09:27:21
22,Todd Rowe,feliciathomas@example.net,Macao,twitter,http://carpenter.com/,business,trial,check,e8cecfde-2877-4944-80cb-2ed626305923,True,True,2024-11-19T11:47:51
23,Kara Hudson,mmanning@example.net,Malaysia,other,https://strickland-kirk.com/author/,business,free,paypal,c0401541-edc3-46f7-b977-05725cb4a3cc,False,True,2024-11-19T12:37:22
